"activity1","activity13","activity25","activity37","activity49","activity61","activity73","activity85","activity97","activity109","activity121","activity133","activity145","activity157","activity169","activity181","activity193","activity205","activity217","activity229","activity241","activity253"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","MARGINAL","MARGINAL","FT","FT","FT","FT","FT","PLEAVE","PT","PLEAVE","PLEAVE","PT"
"EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PT"
"EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","MARGINAL","MARGINAL","MARGINAL"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","MARGINAL","MARGINAL","PT","PT","PT","PT","PT","PT"
"FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","UNEMP","UNEMP","UNEMP","UNEMP","UNEMP","FT","FT","UNEMP","UNEMP","UNEMP"
"EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE"
"EDU","MIL/CS","MIL/CS","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","MIL/CS","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PT","PT","PLEAVE","PLEAVE","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","FT","FT","PLEAVE","FT","FT","FT","FT","FT","FT"
